SAB	6128.2057	26.28	2017-05-01 20:45:00 UTC+0000	26.29	0.0380517503805%
ELC	1012.7807	22.95	2017-05-01 20:02:00 UTC+0000	22.92	-0.130718954248%
BCEI	1.587	0.505	2017-05-01 20:00:00 UTC+0000	39.20	7662.37623762%
VNCE	1.2377	1.00	2017-05-01 20:02:00 UTC+0000	0.95	-5.0%
I	1.2054	2.95	2017-05-01 20:02:00 UTC+0000	3.23	9.49152542373%
CRR	1.1933	6.87	2017-05-01 20:02:00 UTC+0000	6.57	-4.36681222707%
TIME	1.1786	15.20	2017-05-01 20:02:00 UTC+0000	15.20	0.0%
X	1.1775	22.32	2017-05-01 20:01:00 UTC+0000	21.94	-1.70250896057%
SYF	1.1708	27.80	2017-05-01 20:01:00 UTC+0000	27.94	0.503597122302%
FCN	1.1381	34.59	2017-05-01 20:02:00 UTC+0000	34.81	0.636021971668%
GIMO	1.1236	31.70	2017-05-01 20:01:00 UTC+0000	30.75	-2.99684542587%
GEO	1.1125	33.32	2017-05-01 20:00:00 UTC+0000	33.00	-0.960384153661%
ATEN	1.1119	8.10	2017-05-01 20:01:00 UTC+0000	7.97	-1.6049382716%
CCJ	1.1115	9.59	2017-05-01 20:04:00 UTC+0000	9.67	0.834202294056%
JMEI	1.1111	3.31	2017-05-01 20:00:00 UTC+0000	3.56	7.55287009063%
AVT	1.1092	38.69	2017-05-01 20:02:00 UTC+0000	38.17	-1.34401654174%
NEFF	1.108	17.60	2017-05-01 20:02:00 UTC+0000	17.80	1.13636363636%
PES	1.1075	3.05	2017-05-01 20:01:00 UTC+0000	3.00	-1.6393442623%
GHL	1.1045	25.30	2017-05-01 20:01:00 UTC+0000	25.25	-0.197628458498%
MWA	1.1026	11.25	2017-05-01 20:02:00 UTC+0000	11.12	-1.15555555556%
CLD	1.0976	3.37	2017-05-01 20:01:00 UTC+0000	3.52	4.45103857567%
LEE	1.0948	2.60	2017-05-01 20:02:00 UTC+0000	2.70	3.84615384615%
MDP	1.0919	58.55	2017-05-01 20:02:00 UTC+0000	57.60	-1.62254483348%
NBR	1.0914	10.34	2017-05-01 20:02:00 UTC+0000	10.14	-1.93423597679%
CTB	1.0903	38.30	2017-05-01 20:02:00 UTC+0000	38.05	-0.65274151436%
FET	1.0892	16.90	2017-05-01 20:02:00 UTC+0000	16.15	-4.43786982249%
ROYT	1.0884	1.85	2017-05-01 20:02:00 UTC+0000	1.85	0.0%
KS	1.0883	21.09	2017-05-01 20:02:00 UTC+0000	20.42	-3.1768610716%
NGL	1.0865	16.00	2017-05-01 20:02:00 UTC+0000	15.95	-0.3125%
GFA	1.0857	11.38	2017-05-01 20:04:00 UTC+0000	11.58	1.75746924429%
KBR	1.0837	14.05	2017-05-01 20:02:00 UTC+0000	14.83	5.55160142349%
RDN	1.0822	16.88	2017-05-01 20:03:00 UTC+0000	16.52	-2.1327014218%
CGI	1.0811	3.95	2017-05-01 20:02:00 UTC+0000	4.00	1.26582278481%
