SYF	1.1576	27.94	2017-05-02 19:18:00 UTC+0000	28.685	2.666428060128845%
HP	1.0869	58.79	2017-05-02 14:39:00 UTC+0000	59.00	0.3572036060554451%
ORLY	1.0817	241.70	2017-05-02 18:31:00 UTC+0000	246.02	1.787339677285904%
AAL	1.0786	42.08	2017-05-02 15:46:00 UTC+0000	42.91	1.9724334600760507%
VFC	1.0768	52.92	2017-05-02 18:41:00 UTC+0000	53.68	1.4361300075585781%
AMG	1.0759	155.84	2017-05-02 18:35:00 UTC+0000	155.59	-0.16042094455852585%
RIG	1.0667	10.66	2017-05-02 18:15:00 UTC+0000	10.55	-1.0318949343339545%
NWL	1.0656	46.00	2017-05-02 18:53:00 UTC+0000	45.97	-0.06521739130435078%
EQT	1.0645	58.11	2017-05-02 16:27:00 UTC+0000	59.4589	2.3212872139046548%
PSA	1.0629	207.23	2017-05-02 18:06:00 UTC+0000	208.55	0.6369734111856484%
TDC	1.0622	29.04	2017-05-02 17:48:00 UTC+0000	29.11	0.24104683195591559%
DISCK	1.0617	27.19	2017-05-02 18:04:00 UTC+0000	27.12	-0.2574475910261165%
STX	1.0602	42.18	2017-05-02 17:44:00 UTC+0000	42.255	0.17780938833571458%
BBBY	1.0576	37.43	2017-05-02 18:00:00 UTC+0000	37.78	0.9350788137857391%
DFS	1.0574	61.97	2017-05-02 18:20:00 UTC+0000	61.84	-0.20977892528641906%
HST	1.0571	18.05	2017-05-02 18:18:00 UTC+0000	18.45	2.216066481994461%
FCX	1.0556	12.54	2017-05-02 14:39:00 UTC+0000	12.825	2.2727272727272707%
DISCA	1.055	27.98	2017-05-02 20:00:00 UTC+0000	27.96	-0.07147962830592602%
FFIV	1.0539	127.40	2017-05-02 18:14:00 UTC+0000	127.21	-0.14913657770802002%
KSS	1.0487	38.01	2017-05-02 18:08:00 UTC+0000	39.21	3.1570639305446013%
LYB	1.0475	83.46	2017-05-02 15:18:00 UTC+0000	82.875	-0.7009345794392496%
AN	1.0469	41.65	2017-05-02 19:41:00 UTC+0000	40.235	-3.397358943577433%
FTR	1.0469	1.85	2017-05-02 14:43:00 UTC+0000	1.865	0.8108108108108025%
TSCO	1.0459	61.40	2017-05-02 14:43:00 UTC+0000	61.89	0.7980456026058569%
NOV	1.0459	34.26	2017-05-02 18:00:00 UTC+0000	33.78	-1.4010507880910628%
ALK	1.0459	84.42	2017-05-02 18:55:00 UTC+0000	85.77	1.5991471215351716%
FTI	1.0444	30.14	2017-05-02 16:27:00 UTC+0000	30.9199	2.5875912408759083%
