VIAB	1.1058	36.46	2017-05-05 17:00:00 UTC+0000	36.415	-0.12342292923752662%
AKAM	1.0887	52.86	2017-05-05 16:27:00 UTC+0000	52.0499	-1.5325387816874758%
TSLA	1.0584	295.46	2017-05-04 20:00:00 UTC+0000	295.46	0.0%
LBTYA	1.0316	33.83	2017-05-05 16:25:00 UTC+0000	34.195	1.0789240319243332%
CHTR	1.0301	322.60	2017-05-05 14:14:00 UTC+0000	328.385	1.793242405455664%
LBTYK	1.0286	33.22	2017-05-05 13:44:00 UTC+0000	33.44	0.6622516556291425%
DISCA	1.0265	26.63	2017-05-05 13:57:00 UTC+0000	26.83	0.7510326699211367%
DISH	1.0265	60.06	2017-05-05 15:18:00 UTC+0000	61.08	1.6983016983016963%
VRSK	1.0236	78.01	2017-05-05 13:45:00 UTC+0000	79.46	1.8587360594795488%
DISCK	1.022	26.08	2017-05-05 14:44:00 UTC+0000	26.25	0.6518404907975617%
FOXA	1.0213	29.04	2017-05-05 15:00:00 UTC+0000	28.73	-1.0674931129476595%
VRTX	1.0204	116.39	2017-05-05 15:19:00 UTC+0000	114.72	-1.4348311710628114%
LVNTA	1.02	51.76	2017-05-05 16:09:00 UTC+0000	52.40	1.2364760432766575%
FOX	1.0198	28.50	2017-05-05 15:08:00 UTC+0000	28.345	-0.5438596491228131%
BBBY	1.0145	37.10	2017-05-05 16:46:00 UTC+0000	37.28	0.48517520215634047%
TMUS	1.0142	65.48	2017-05-05 15:40:00 UTC+0000	66.00	0.7941356139279154%
CMCSA	1.0129	38.29	2017-05-05 14:11:00 UTC+0000	38.555	0.6920867067119474%
ALXN	1.0126	130.15	2017-05-05 15:52:00 UTC+0000	129.58	-0.4379562043795526%
TSCO	1.0106	61.54	2017-05-05 15:49:00 UTC+0000	61.64	0.1624959376015589%
NTES	1.0098	265.34	2017-05-05 16:11:00 UTC+0000	264.155	-0.4465968191753933%
AMZN	1.0088	937.53	2017-05-05 14:02:00 UTC+0000	933.6546	-0.41336277239129027%
CERN	1.0086	64.12	2017-05-04 20:00:00 UTC+0000	64.12	0.0%
MU	1.0082	27.79	2017-05-05 13:40:00 UTC+0000	27.72	-0.25188916876573986%
