SAB	7665.4155	26.0501	2017-05-05 14:14:00 UTC+0000	26.38	1.2664058871175055%
ELC	1000.9169	22.98	2017-05-05 14:56:00 UTC+0000	23.029	0.21322889469104211%
CGI	1.3615	1.65	2017-05-04 20:01:00 UTC+0000	1.65	0.0%
VNCE	1.3261	0.416	2017-05-05 15:30:00 UTC+0000	0.4095	-1.5625%
SRC	1.2652	6.71	2017-05-05 16:40:00 UTC+0000	7.1401	6.409836065573771%
WBAI	1.2556	9.30	2017-05-05 14:50:00 UTC+0000	8.70	-6.451612903225823%
GOL	1.2504	16.39	2017-05-05 16:52:00 UTC+0000	17.08	4.209884075655879%
LEE	1.2229	2.05	2017-05-05 14:44:00 UTC+0000	2.20	7.317073170731736%
AVP	1.2126	3.62	2017-05-04 20:00:00 UTC+0000	3.62	0.0%
NMM	1.1949	1.58	2017-05-05 14:04:00 UTC+0000	1.66	5.063291139240489%
RYI	1.1942	10.40	2017-05-05 14:18:00 UTC+0000	9.55	-8.173076923076916%
TWLO	1.1816	24.96	2017-05-05 16:07:00 UTC+0000	24.39	-2.2836538461538436%
LKSD	1.1749	21.29	2017-05-05 16:37:00 UTC+0000	22.10	3.804603100046977%
XCO	1.1702	0.3601	2017-05-05 15:54:00 UTC+0000	0.3921	8.886420438767018%
UNT	1.167	17.92	2017-05-05 15:38:00 UTC+0000	18.42	2.790178571428581%
VRTV	1.1433	41.40	2017-05-05 15:47:00 UTC+0000	42.30	2.1739130434782483%
CIE	1.1427	0.3032	2017-05-05 17:05:00 UTC+0000	0.287	-5.343007915567299%
LCI	1.138	21.20	2017-05-05 15:08:00 UTC+0000	20.50	-3.301886792452824%
TGH	1.136	12.50	2017-05-05 13:48:00 UTC+0000	13.00	4.0000000000000036%
BXC	1.1275	9.12	2017-05-05 16:47:00 UTC+0000	8.90	-2.412280701754377%
FTK	1.1254	10.47	2017-05-05 14:11:00 UTC+0000	10.64	1.623686723973261%
OCN	1.1182	2.53	2017-05-05 14:13:00 UTC+0000	2.58	1.976284584980248%
DNR	1.1151	1.88	2017-05-04 20:00:00 UTC+0000	1.88	0.0%
RFP	1.1101	5.40	2017-05-05 17:00:00 UTC+0000	5.10	-5.55555555555557%
HTGC	1.1054	13.49	2017-05-05 14:46:00 UTC+0000	12.9825	-3.7620459599703504%
BCEI	1.1015	32.95	2017-05-05 15:46:00 UTC+0000	32.58	-1.1229135053110961%
PGH	1.1002	0.7927	2017-05-05 15:19:00 UTC+0000	0.8462	6.749085404314359%
TRGP	1.0984	48.91	2017-05-05 14:32:00 UTC+0000	50.80	3.8642404416274756%
ECR	1.0974	1.76	2017-05-05 16:40:00 UTC+0000	2.025	15.056818181818166%
GKOS	1.091	42.61	2017-05-05 15:38:00 UTC+0000	41.56	-2.464210279277157%
CBL	1.0907	8.44	2017-05-05 15:34:00 UTC+0000	8.48	0.4739336492891155%
CRC	1.0898	10.16	2017-05-05 14:46:00 UTC+0000	12.51	23.129921259842522%
GLT	1.0894	18.39	2017-05-05 14:05:00 UTC+0000	19.42	5.600870038064176%
SXE	1.087	3.58	2017-05-05 16:25:00 UTC+0000	3.80	6.145251396648033%
TECK	1.0856	18.15	2017-05-05 13:40:00 UTC+0000	18.26	0.6060606060606322%
SALT	1.0846	6.50	2017-05-05 14:08:00 UTC+0000	6.45	-0.7692307692307665%
STOR	1.0844	21.13	2017-05-05 15:32:00 UTC+0000	20.80	-1.5617605300520476%
SLCA	1.0836	34.84	2017-05-05 14:24:00 UTC+0000	35.32	1.3777267508610747%
NAT	1.083	7.15	2017-05-05 13:43:00 UTC+0000	7.185	0.4895104895104696%
LXU	1.0821	8.44	2017-05-05 16:31:00 UTC+0000	8.64	2.369668246445511%
